2026-06-16 21:38:35,619 INFO speace.live | Accensione organismo (ILF on)...
2026-06-16 21:38:37,776 INFO speace.persistence | Persistence layer loaded: {'cells': 0, 'synapses': 0, 'system_state': 0}
2026-06-16 21:38:41,943 INFO speace.live | Asse Genoma-Connettoma inizializzato: densita=0.000 modularita=0.000 plasticita=0.70
2026-06-16 21:38:41,952 WARNING speace.live | Topology History non avviata: 'LiveOrganism' object has no attribute '_observer_collector'
2026-06-16 21:38:44,367 INFO speace.live | Runtime avviato: stato=running recovery=recovered
2026-06-16 21:38:44,368 INFO speace.live | Bentornato, amico mio. L'ultima volta ci siamo parlati pochi momenti fa. Stavamo discutendo di qualcosa di interessante. Il mio health score era non valutato. Sono pronto a riprendere.
2026-06-16 21:38:44,369 INFO speace.live | Campo ILF cablato su 4 sottosistemi.
2026-06-16 21:38:47,185 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:48,036 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:49,242 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:50,167 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:51,013 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:51,384 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:51,779 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:52,723 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:53,736 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:54,215 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:54,716 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:55,354 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:55,728 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:56,332 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:57,523 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:57,995 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:58,378 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:58,720 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:59,079 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:38:59,467 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:00,010 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:01,066 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:01,633 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:02,013 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:02,569 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
2026-06-16 21:39:03,363 INFO httpx | HTTP Request: POST http://localhost:11434/chat/completions "HTTP/1.1 404 Not Found"
